Date,Item,Quantity,Total,Monis,Saad,Monis Advance,Notes
19-August-2025,Vitamic C and panadol,-,720,,720,,
20-August-2025,Welding labour,-,8000,,8000,,
20-August-2025,Paint labour,-,8000,,8000,,
21-August-2025,Conaz lotion + Hydrozole cream,-,1521,,1521,,
21-August-2025,Kali chambi tapri,-,40000,40000,,,
24-August-2025,Water,600ltr,700,,700,,
25-August-2025,Bilo rani crossed with biscuit,-,-,,-,,
27-August-2025,Black abluk teddy seeng female (titli) (3 months),-,41000,41000,,,
27-August-2025,Delivery,-,6500,,6500,,
27-August-2025,Recieved from Monis,-,,17500,,17500,
27-August-2025,Paid Goatherd,-,25000,,25000,,
27-August-2025,Jantar + carminative mixture,-,1250,,1250,,
30-August-2025,LED bulb + ORS box + Medicines,-,2000,,2000,,
2-September-2025,Monis share (Awais's 2 goats palai),-,,7000,,7000,Half (7000 per goat palai)
5-Spetember-2025,Water + jantar + ghee,-,2500,,2500,,
6-September-2025,"Unimec plus, Butter milk, Carminative mixture, punch, thunder, needles, syringe small, syringe 50ml, SS nozel, bands",-,6830,,6830,,
9-September-2025,Recieved from Monis,-,,40000,,40000,
11-September-2025,Chilka + Chokar + Atti + Delivery,80kg + 40kg + 10kg,15000,,15000,,
22-September-2025,Doctor (Awais abluk tapra) ,-,3000,,3000,,
22-September-2025,Jantar + mics,-,2000,,2000,,
22-September-2025,ORS + Drip,-,500,,500,,
22-September-2025,Awais bhai abluk teddy (AMA) crossed with hero,-,-,,-,,
22-September-2025,Masakali crossed with brownei and hero,-,-,,-,,
22-September-2025,Recieved from Monis,-,,10000,,10000,
23-September-2025,Doctor (Awais abluk tapra + castration of biscuit),-,4000,,4000,,
23-September-2025,ORS,-,1000,,1000,,
23-September-2025,Delivery for red abluk teddy (chocolate),-,2500,,2500,,
23-September-2025,Gulabo crossed with hero,-,-,,-,,
24-September-2025,Awais bhai's black abluk tapra slautered,-,-,,-,,
28-September-2025,Paro gives birth to a female kid,-,-,,-,,"Paro give 2 kids, one (Female) is healthy and otherone was immature (incomplete)"
28-September-2025,Jantar,-,2000,,2000,,
1-October-2025,Paid Goatherd,-,25000,,25000,,
1-October-2025,Monis share (Awais's 2 goats palai),-,,7000,,7000,Half (7000 per goat palai)
4-October-2025,Butter + Delivery,2kg,1900,,1900,,
4-October-2025,Jantar,-,2000,,2000,,
5-October-2025,Chilka + Chokar + Gandum,120kg + 68kg + 50kg,23900,,23900,,
5-October-2025,Delivery,-,1500,,1500,,
5-October-2025,Bilo rani crossed with brownie,-,-,,-,,
7-October-2025,Recieved from Monis,-,,10000,,10000,
10-October-2025,Monis share (Awais's 2 goats palai),-,,5000,,5000,Half (5000 per goat palai)
10-October-2025,Awais bhai's black abluk tapri (Bella) crossed with hero,-,-,,-,,
13-October-2025,Black ajrak abluk gualbi/bissar male long ears.,-,-,,-,,Purchased for monis bhai's qurbani 55000/-
13-October-2025,Leg bands,2,500,,500,,
13-October-2025,Jantar,-,2500,,2500,,
19-October-2025,Brown abluk ajrak female 4 months (Faheem goat farm),-,40000,40000,,,
20-October-2025,Masakali Died,-,-,,-,,
20-October-2025,Alfalfa + Rhode grass mix,200kg,17500,,17500,,
20-October-2025,Delivery,-,3500,,3500,,
28-October-2025,Recieved from Monis,-,,5000,,5000,
28-October-2025,PPR + Loxin + Syringes,-,2750,,2750,,
29-October-2025,Salt + strings (3),-,900,,900,,
30-October-2025,Water,-,1000,,1000,,
30-October-2025,Paid Goatherd,-,25000,,25000,,
1-November-2025,Bulbul X-Ray,-,2000,,2000,,
1-November-2025,"Teddy female, fone color, short ear, seeng, 1.5 months crossed with ajrak tedda",-,70000,70000,,,
2-November-2025,Medicines: Jetepar + lysovit + panadol,3 + 4 + 6,2100,,2100,,
2-November-2025,Chana Chilka,120kg,13200,,13200,,
2-November-2025,Soyabean Chilka,50kg,3000,,3000,,
2-November-2025,Chokar,102kg,7050,,7050,,
2-November-2025,Gandum,50kg,5500,,5500,,
2-November-2025,Delivery,-,1500,,1500,,
2-November-2025,Monis share (Awais's 4 goats palai),-,,14000,,14000,
5-November-2025,Sent to Monis,-,,-4000,,-4000,
10-November-2025,Mega-VMIX,25kg,13500,,13500,,
10-November-2025,Gur,5kg,1500,,1500,,
10-November-2025,Vet charges for gurdya 1st day,-,7500,,7500,,
11-November-2025,Vet charges for gurdya 2nd day,-,1500,,1500,,
12-November-2025,Green canvas tarpaulin,51 yard,15000,,15000,,
12-November-2025,Delivery charges,-,400,,400,,
12-November-2025,Vet charges for gurdya 3rd day,-,1500,,1500,,
12-November-2025,Monis share (Arsalan's 2 goats palai),-,,7000,,7000,
14-November-2025,Water and misc,-,2500,,2500,,
21-Novemeber-2025,Butter + Delivery,2kg,1900,,1900,,
2-December-2025,Monis share (Awais's 4 goats palai),-,,14000,,14000,
3-December-2025,Paid Goatherd,-,25000,,25000,,
4-December-2025,Monis share (Arsalan's 2 goat palai),-,,7000,,7000,
4-December-2025,Water and misc,-,1000,,1000,,
13-December-2025,Khal + Bussa,-,2000,,2000,,
14-December-2025,Recieved from Monis,-,,10000,,10000,
15-December-2025,Chilka,60kg,7800,,7800,,
15-December-2025,Chokar,34kg,2800,,2800,,
15-December-2025,Butter Milk,1kg,1550,,1550,,
15-December-2025,Khal,10kg,1000,,1000,,
15-December-2025,Gandum,10kg,1150,,1150,,
15-December-2025,Kala Chana,2kg,500,,500,,
15-December-2025,Delivery,-,1000,,1000,,
15-December-2025,Black abluk tapra male kid (2 months),-,38000,38000,,,
17-December-2025,Khur making (all goats),22,4000,4000,,,
19-December-2025,Recieved from Monis,-,,5000,,5000,
22-December-2025,Barseen,-,1500,,1500,,
24-December-2025,Paid Goatherd,-,25000,,25000,,
25-December-2025,Hero castration,-,1500,,1500,,
25-December-2025,Barseen,-,2000,,2000,,
26-December-2025,Bulbul Slaughtered,-,-,,-,,
26-December-2025,Barseen,-,2000,,2000,,
30-December-2025,Barseen,-,2000,,2000,,
31-December-2025,Recieved from Monis,-,,10000,,10000,
31-December-2025,Channa Chilka,120kg,15600,,15600,,
31-December-2025,Soyabean Chilka,50kg,3400,,3400,,
31-December-2025,Chokar,102kg,7800,,7800,,
31-December-2025,Gandum,50kg,5500,,5500,,
31-December-2025,Delivery,-,1200,,1200,,
31-December-2025,Water,-,800,,800,,
1-January-2026,Cholate gave birth to black abluk female kid,-,-,,-,,
1-January-2026,Monis share (Awais's 4 goats palai),,,14000,,14000,
2-January-2026,Chocolate vet fees,-,3500,,3500,,
5-January-2026,Barseen,-,1500,,1500,,
5-January-2026,Recieved from Monis,-,,3500,,3500,
7-January-2026,Birds adjustment,-,,-17642,,-17642,
7-January-2026,Recieved from Monis,-,,6000,,6000,
7-January-2026,Khal + Kala Channa + Delivery,10kg + 5kg,,2500,,2500,
7-January-2026,Rock Salt,-,500,,500,,
9-January-2026,Barseen,-,2000,,2000,,
13-January-2026,Choti sheezadi gave still borth,-,-,,-,,
14-January-2026,Barseen,-,2000,,2000,,
15-January-2025,Recieved from Monis,-,,20000,,20000,
16-January-2026,Teddy Lal chambi female round seeng (fazeel) crossed with marco,-,50000,50000,,,
16-January-2026,Teddy Commando ajruk female large seeng and ear (fazeel) crossed with marco,-,46000,46000,,,
16-January-2026,Both goats delivery,-,2000,2000,,,
19-January-2026,Paid Goatherd,-,10000,,10000,,Needed
21-January-2026,Barseen,-,3000,,3000,,Not recieved
22-January-2026,Barseen,-,2000,,2000,,
27-January-2026,Feed manager (3.5 feet) Khurli,2,7000,,7000,,
27-January-2026,Delivery,-,1300,,1300,,
30-January-2026,"Black abluk teddy male, mostly white munda 5 months (danish boss)",-,-,,-,,Purchased for monis bhai's qurbani 30000/-
31-January-2026,Boxes for water,3,1950,,1950,,
31-January-2026,Kala Chilka,160kg,19600,,19600,,
31-January-2026,Soyabean Chilka,45kg,3060,,3060,,
31-January-2026,Chokar,102kg,6300,,6300,,
31-January-2026,Gandum,50kg,6300,,6300,,
31-January-2026,Khal,10kg,1100,,1100,,
31-January-2026,Delivery,-,1300,,1300,,
31-January-2026,Khurli,-,7000,,7000,,
31-January-2026,Belts,3,500,,500,,
31-January-2026,Trimmer,1,5500,,5500,,
31-January-2026,Delivery,-,1500,,1500,,
31-January-2026,Chains,4,1200,,1200,,
31-January-2026,Butter milk,2kg,3000,,3000,,
31-January-2026,Kala Chana,10kg,2400,,2400,,
31-January-2026,Farvet Vitamin AD3E,50ml,1300,,1300,,
31-January-2026,Delivery,-,300,,300,,
31-January-2026,Barseen,-,3000,,3000,,
1-February-2026,Monis share (Awais's 4 goats palai),-,,14000,,14000,
2-February-2026,Recieved from Monis,-,,20000,,20000,
2-February-2026,Paid Goatherd,-,15000,,15000,,
2-February-2026,"Ultrasound for grace, bella, lal chambi round seeng and ajrak commando large seeng",4,4000,,4000,,
2-February-2026,Monis share (Arsalan 2 goats 2 months palai),-,,14000,,14000,
3-February-2026,Delievery chages for grace and lallo to chatni,-,3500,3500,,,
6-February-2026,Barseen,-,2000,,2000,,
9-February-2026,AMA give birth to brown abluk female bissar with mostly white and patches on neck and back legs,-,-,,-,,
9-February-2026,Barseen,-,2000,,2000,,
13-February-2026,Recieved from Monis,-,,30000,,30000,For CCTV cameras
13-February-2026,Brown abluk female teddy fone color with bended ears (Crowssed with ajrak breeder),-,30000,30000,,,Remaing 28000 will be paid next month
13-February-2026,Delivery,-,2500,,2500,,
14-February-2026,Recieved from Monis,-,,7000,,7000,For CCTV cameras
14-February-2026,CCTV camera installation initial,-,30000,,30000,,
15-February-2026,Baseen + Vet chages for new female fone brown abluk teddy,-,3500,,3500,,
16-February-2026,Muhib vet charges for ppr infected goat,-,2500,,2500,,
16-February-2026,Recieved from Monis,-,,9000,,9000,
16-February-2026,CCTV camera installation remaining,-,5500,,5500,,
17-February-2026,Muhib vet charges for ppr infected goat,-,2000,,2000,,
18-February-2026,Barseen,-,2000,,2000,,
19-February-2026,"Billo rani gave birth to male teddy brown abluk, medium ears",-,-,,-,,
21-February-2026,Gulabo gave birth to double passa black abluk male bissar,-,-,,-,,
21-February-2026,Barseen,-,2000,,2000,,
24-February-2026,Paid Goatherd,-,5000,,5000,,Remaing 20000
27-February-2025,Cookie died,-,-,,-,,
27-February-2026,Muhib vet charges,-,2000,,2000,,
27-February-2026,Paid Goatherd,-,20000,,20000,,
27-February-2026,Barseen,-,2000,,2000,,
28-February-2026,Almox LA 100ml,100 ml,1000,,1000,,
28-February-2026,Penacort 50ml,50 ml,900,,900,,
28-February-2026,Liver Vaccine (Nitroxynil),100 ml,3500,,3500,,
28-February-2026,ETV Vaccine,20 ml,2000,,2000,,
28-February-2026,Deviser Plus,3 x 100ml,1200,,1200,,
28-February-2026,Soyabean meal,15kg ,4200,,4200,,
28-February-2026,Peanuts missa ,80kg ,6000,,6000,,
28-February-2026,Gawar missa,80kg ,3600,,3600,,
28-February-2026,Delivery,-,1500,,1500,,
28-February-2026,Purchase bella from awais bhai,-,68000,68000,,,
28-February-2026,Saad profit for awais bhai 2 female goats (fazeel),-,,-10000,,-10000,We bought 1 female from fazeel for 55k and sold it in 75k
1-March-2026,Guddu slaughtered,-,-,,-,,
1-March-2026,Guddu palai monis bhai share (1 month),-,-,-3500,-,-3500,
2-March-2026,CCTV DVR changed,-,2000,,2000,,
2-March-2026,Monis share (Arsalan 2 goats palai),-,,7000,,7000,
4-March-2026,Monis share (Awais 3 goats palai),-,,10500,,10500,
4-March-2026,Channa chilka,160kg,20400,,20400,,
4-March-2026,Chokar,136kg,9600,,9600,,
4-March-2026,Gandum,100kg,11600,,11600,,
4-March-2026,Delivery,-,1300,,1300,,
4-March-2026,"Bella gave birth, one deformed and other is brown abluk with mostly white and small patches around neck and tail",-,-,,-,,
6-March-2026,Bella died,-,-,,-,,
12-March-2026,Queen give birth to full white teddy female,-,-,,-,,
12-March-2026,Vet charges for queen + care taker,-,4000,,4000,,
13-March-2026,Queen's kid died,-,-,,-,,
15-March-2026,"Delivery charges for 5 male goats (bunty, bistcuit, hero, monu, sonu), and 2 female (grace and lallo) to and from chatni goat farm",-,9000,9000,,,
15-March-2026,Bunty palai monis bhai share (5 month),-,,17500,,17500,
16-March-2026,Palai for grace and lallo (Chatni),-,20000,,20000,,
20-March-2026,Recieved from Monis,-,5000,,5000,,
20-March-2026,Paid Goatherd,-,5000,,5000,,
26-March-2026,Makai dana,80kg,8000,,8000,,
26-March-2026,Khal,40kg,3750,,3750,,
26-March-2026,Soyabean chilka,30kg,2400,,2400,,
26-March-2026,Delivery,-,1300,,1300,,
28-March-2026,Crane weight scale,-,5500,,5500,,
28-March-2026,Delivery ,-,300,,300,,
28-March-2026,Paid Goatherd,-,20000,,20000,,
1-April-2026,Saad profit for awais bhai 1 female goats (shazaib),-,,-6000,,-6000,We bought 1 balck teddy female from shazaib for 40k and sold it in 50k
5-April-2026,Monis share (Awais 4 goats palai),-,,14000,,14000,Awais bhai transfer 13k and 15k was transfered by Monis.
7-April-2026,Water + ORS + Jantar,-,7000,,7000,,
11-April-2026,Paid Goatherd,-,8000,,8000,,
11-April-2026,"Ajrak teddy female 12 months crossed with abluk breeder, long ear, seeng",-,41000,41000,,,
11-April-2026,Delivery,-,2000,2000,,,
11-April-2026,Recieved from Monis,-,,20000,,20000,
13-April-2026,Chokar,68kg,5400,,5400,,
14-April-2026,Lysovit + Jatepar,4+4,2500,,2500,,
17-April-2026,Jantar,-,6000,,6000,,
20-April-2026,Recieved from Monis,-,,8000,,8000,
20-April-2026,"Ultrasound for grace, coco, gudrya, lallo and titli",-,4500,,4500,,
20-April-2026,Jantar,-,1000,,1000,,
25-April-2026,Recieved from Monis,-,,3000,,3000,
25-April-2026,Jantar,-,2000,,2000,,
28-April-2026,Paid Goatherd,-,25000,,25000,,
28-April-2026,Jantar,-,5000,,5000,,
1-May-2026,Chokar,68kg,6400,,6400,,
1-May-2026,Makai  ,50kg,5300,,5300,,
1-May-2026,Channa Chilka,40kg,6100,,6100,,
1-May-2026,Khal,30kg,3600,,3600,,
2-May-2026,Monis share (Awais 4 goats palai),-,,14000,,14000,
4-May-2026,Jantar,-,5000,,5000,,
6-May-2026,Inj cyclomate,2ml,180,,180,,
6-May-2026,Heavy Gold Mineral Mix,20kg,13500,,13500,,
6-May-2026,Hoof cutter,-,2000,,2000,,
6-May-2026,Needles,5,125,,125,,
6-May-2026,Zyodine,50ml,150,,150,,
6-May-2026,Hepta safe,1ltr,840,,840,,
7-May-2026,Delivery (without heavy gold),-,400,,400,,
8-May-2026,Jantar,-,5000,,5000,,
11-May-2026,"Lallo gave birth full white, white eye male teddy",-,-,,-,,
13-May-2026,Jantar,-,5000,,5000,,
13-May-2026,Inj cyclomate,2x2ml,360,,360,,
13-May-2026,Inj Conceptal,10ml,980,,980,,
13-May-2026,Delivery,-,200,,200,,
15-May-2026,Arsalan bhai goat palai chatni for 2 goats,-,,12000,,12000,"Chatni palai is 10k per goat, arsalan gave 7k"
15-May-2026,Hero and Biscuit palai chatni,-,,36000,,36000,Chatni palai is 9k per goat
15-May-2026,Hero profit (Saad),-,,-35000,,-35000,Sold for 75k from chatni
17-May-2026,Channa Chilka (Chatni),60kg,9600,9600,,,
17-May-2026,Chokar (Chatni),34kg,3000,3000,,,
17-May-2026,Gandum (Chatni),50kg,6000,6000,,,
18-May-2026,Recieved from Monis,-,,7000,,7000,
18-May-2026,Jantar,-,5000,,5000,,
21-May-2026,Jantar,-,5000,,5000,,
24-May-2026,Jantar,-,7000,,7000,,
24-May-2026,Biscuit profit (Monis),-,,30000,,30000,Sold for 60k to Arsalan
25-May-2026,Electricity Bill,-,18456,,18456,,
25-May-2026,Chatni balance adjustment,-,9000,9000,,,40000 (gulabis) + ours (35000) + 9000 (10 days for 3 goats)
26-May-2026,Paid Goatherd,-,17000,,17000,, 
31-May-2026,Khur making + Jantar,-,5000,,5000,,
4-June-2026,Jantar + Water,-,5000,,5000,,
4-June-2026,Awais bhai small cheena teddy delivery,-,2000,2000,,,
4-June-2026,Recieved from Monis,-,,5000,,5000,
5-June-2026,Monis share (Awais 5 goats palai),-,,17500,,17500,
5-June-2026,Channa Chilka,200kg,31500,,31500,,
5-June-2026,Chokar,102kg,8400,,8400,,
5-June-2026,Gandum,100kg,12000,,12000,,
5-June-2026,Delivey,-,2000,,2000,,
8-June-2026,Saad share of brownie,-,,-39000,,-39000,Brownie sold to Asad Abbas punjab (Fazeel reference) for 78000/-
8-June-2026,Black abluk teddy breeder fresh 8 teeth (shaheer),-,70000,70000,,,Purchased from shaheer remaining 40k will be paid in 1 month.
8-June-2026,Recieved from Monis,-,,5500,,5500,
8-June-2026,Jantar,-,5000,,5000,,
9-June-2026,Recieved from Monis,-,,2000,,2000,
9-June-2026,Paid delivery of black abluk teddy breeder (shaheer),-,3000,,3000,,
10-June-2026,Recieved from Monis,-,,10000,,10000,
10-June-2026,Jantar,-,10000,,10000,,
14-June-2026,Exchange new red cheena female with queen,-,-,,-,,Exchange with awais bhai goat because of severe weekness
14-June-2026,Grace crossed with shelby,-,-,,-,,
15-June-2026,Titli crossed with shelby,-,-,,-,,
16-June-2026,Recieved from Monis,-,,5000,,5000,
16-June-2026,Gulabo on heat,-,-,,-,,
17-June-2026,Paro crossed with shelby,-,-,,-,,
17-June-2026,Jantar,-,5000,,5000,,
